Cost code,CSI division,Description,Original,Revised,Committed,Forecast,Variance (revised-forecast)
01-000,01 — General Requirements,General Requirements,12322800.00,12322800.00,10844100.00,12630900.00,-308100.00
02-000,02 — Existing Conditions,Existing Conditions,1945700.00,1945700.00,1829000.00,1951500.00,-5800.00
03-000,03 — Concrete,Concrete,15565600.00,16063700.00,15099900.00,16352800.00,-289100.00
04-000,04 — Masonry,Masonry,1945700.00,1945700.00,1712200.00,1951500.00,-5800.00
05-000,05 — Metals,Metals,22699800.00,23017600.00,21636500.00,22833500.00,184100.00
06-000,"06 — Wood, Plastics & Composites","Wood, Plastics & Composites",1037700.00,1037700.00,975400.00,1040800.00,-3100.00
07-000,07 — Thermal & Moisture Protection,Thermal & Moisture Protection,9079900.00,9207000.00,8102200.00,9308300.00,-101300.00
08-000,08 — Openings,Openings,9079900.00,9079900.00,8535100.00,9107100.00,-27200.00
09-000,09 — Finishes,Finishes,7782800.00,7891800.00,7418300.00,7797100.00,94700.00
10-000,10 — Specialties,Specialties,1945700.00,1945700.00,1712200.00,1951500.00,-5800.00
11-000,11 — Equipment,Equipment,4540000.00,4540000.00,4267600.00,4553600.00,-13600.00
12-000,12 — Furnishings,Furnishings,1037700.00,1037700.00,975400.00,1040800.00,-3100.00
14-000,14 — Conveying Equipment,Conveying Equipment,2594300.00,2594300.00,2283000.00,2602100.00,-7800.00
21-000,21 — Fire Suppression,Fire Suppression,2594300.00,2594300.00,2438600.00,2602100.00,-7800.00
22-000,22 — Plumbing,Plumbing,3891400.00,3891400.00,3657900.00,3903100.00,-11700.00
23-000,"23 — Heating, Ventilating & Air Conditioning (HVAC)","Heating, Ventilating & Air Conditioning (HVAC)",10377100.00,10709200.00,9424100.00,10944800.00,-235600.00
26-000,26 — Electrical,Electrical,9728500.00,10039800.00,9437400.00,10190400.00,-150600.00
27-000,27 — Communications,Communications,3242800.00,3242800.00,3048200.00,3252500.00,-9700.00
28-000,28 — Electronic Safety & Security,Electronic Safety & Security,3242800.00,3242800.00,2853700.00,3252500.00,-9700.00
31-000,31 — Earthwork,Earthwork,2594300.00,2594300.00,2438600.00,2617600.00,-23300.00
32-000,32 — Exterior Improvements,Exterior Improvements,1556600.00,1556600.00,1463200.00,1561300.00,-4700.00
33-000,33 — Utilities,Utilities,908000.00,908000.00,799000.00,910700.00,-2700.00

,,TOTAL,129713400.00,131408800.00,120951600.00,132356500.00,-947700.00
