Item,Description,Cost code,Scheduled value,Completed previous,Completed this period,Materials stored,Total completed and stored,% complete,Retainage %,Balance to finish
001,General Requirements,01-000,12322800.00,6777540.00,1478736.00,0.00,8256276.00,0.6700,5.00,4066524.00
002,Existing Conditions,02-000,1945700.00,1070135.00,233484.00,0.00,1303619.00,0.6700,5.00,642081.00
003,Concrete,03-000,16063700.00,2891466.00,1927644.00,0.00,4819110.00,0.3000,5.00,11244590.00
004,Masonry,04-000,1945700.00,0.00,0.00,0.00,0.00,0.0000,5.00,1945700.00
005,Metals,05-000,23017600.00,0.00,0.00,690528.00,690528.00,0.0300,5.00,22327072.00
006,"Wood, Plastics & Composites",06-000,1037700.00,0.00,0.00,0.00,0.00,0.0000,5.00,1037700.00
007,Thermal & Moisture Protection,07-000,9207000.00,0.00,0.00,0.00,0.00,0.0000,5.00,9207000.00
008,Openings,08-000,9079900.00,0.00,0.00,0.00,0.00,0.0000,5.00,9079900.00
009,Finishes,09-000,7891800.00,0.00,0.00,0.00,0.00,0.0000,5.00,7891800.00
010,Specialties,10-000,1945700.00,0.00,0.00,0.00,0.00,0.0000,5.00,1945700.00
011,Equipment,11-000,4540000.00,0.00,0.00,0.00,0.00,0.0000,5.00,4540000.00
012,Furnishings,12-000,1037700.00,0.00,0.00,0.00,0.00,0.0000,5.00,1037700.00
013,Conveying Equipment,14-000,2594300.00,0.00,0.00,0.00,0.00,0.0000,5.00,2594300.00
014,Fire Suppression,21-000,2594300.00,0.00,0.00,0.00,0.00,0.0000,5.00,2594300.00
015,Plumbing,22-000,3891400.00,0.00,0.00,0.00,0.00,0.0000,5.00,3891400.00
016,"Heating, Ventilating & Air Conditioning (HVAC)",23-000,10709200.00,0.00,0.00,0.00,0.00,0.0000,5.00,10709200.00
017,Electrical,26-000,10039800.00,0.00,0.00,0.00,0.00,0.0000,5.00,10039800.00
018,Communications,27-000,3242800.00,0.00,0.00,0.00,0.00,0.0000,5.00,3242800.00
019,Electronic Safety & Security,28-000,3242800.00,0.00,0.00,0.00,0.00,0.0000,5.00,3242800.00
020,Earthwork,31-000,2594300.00,1426865.00,311316.00,0.00,1738181.00,0.6700,5.00,856119.00
021,Exterior Improvements,32-000,1556600.00,0.00,0.00,0.00,0.00,0.0000,5.00,1556600.00
022,Utilities,33-000,908000.00,0.00,0.00,0.00,0.00,0.0000,5.00,908000.00
