Ref,Code,Description,Division
CC-001,01,Predevelopment and due diligence,01 — General Requirements
CC-002,02,Design and permitting,01 — General Requirements
CC-003,03,Site enabling,02 — Existing Conditions
CC-004,04,Earthwork and civil,31 — Earthwork
CC-005,05,Structural / pad / deck,03 — Concrete
CC-006,06,Aviation surfaces and markings,32 — Exterior Improvements
CC-007,07,Aviation lighting and weather,26 — Electrical
CC-008,08,Electrical and charging,26 — Electrical
CC-009,09,Fire and life safety,21 — Fire Suppression
CC-010,10,Communications and security,27 — Communications
CC-011,11,Buildings and support spaces,01 — General Requirements
CC-012,12,Landscape and site amenities,32 — Exterior Improvements
CC-013,13,General conditions,01 — General Requirements
CC-014,14,Commissioning and activation,01 — General Requirements
CC-015,15,Contingency and escalation,01 — General Requirements
