Base case - 36 month capitalization
Exported from the container's scenario record.

ASSUMPTIONS,Value
timing,"{""construction_months"": 36, ""leaseup_months"": 12, ""hold_years"": 10, ""start_date"": ""2027-03-01""}"
cost_lines,"[{""category"": ""land"", ""name"": ""Land acquisition and closing"", ""amount"": 2400000, ""curve"": ""upfront"", ""start_month"": 0, ""end_month"": 0, ""csi_code"": null}, {""category"": ""soft"", ""name"": ""WBS 01 Predevelopment and due diligence"", ""amount"": 385000, ""curve"": ""linear"", ""start_month"": 0, ""end_month"": 5, ""csi_code"": ""01 00 00""}, {""category"": ""soft"", ""name"": ""WBS 02 Design, permitting and FAA consulting"", ""amount"": 1650000, ""curve"": ""linear"", ""start_month"": 2, ""end_month"": 19, ""csi_code"": ""01 00 00""}, {""category"": ""hard"", ""name"": ""WBS 03 Site enabling and utility relocation"", ""amount"": 420000, ""curve"": ""linear"", ""start_month"": 23, ""end_month"": 25, ""csi_code"": ""02 41 00""}, {""category"": ""hard"", ""name"": ""WBS 04 Earthwork, drainage and paving"", ""amount"": 1850000, ""curve"": ""scurve"", ""start_month"": 24, ""end_month"": 30, ""csi_code"": ""31 00 00""}, {""category"": ""hard"", ""name"": ""WBS 05 Structural pad and deck"", ""amount"": 2600000, ""curve"": ""scurve"", ""start_month"": 26, ""end_month"": 31, ""csi_code"": ""03 30 00""}, {""category"": ""hard"", ""name"": ""WBS 06 Aviation surfaces and markings"", ""amount"": 780000, ""curve"": ""scurve"", ""start_month"": 30, ""end_month"": 33, ""csi_code"": ""32 17 00""}, {""category"": ""hard"", ""name"": ""WBS 07 Aviation lighting and weather systems"", ""amount"": 940000, ""curve"": ""scurve"", ""start_month"": 29, ""end_month"": 33, ""csi_code"": ""26 56 00""}, {""category"": ""hard"", ""name"": ""WBS 08 Electrical service and eVTOL charging"", ""amount"": 3250000, ""curve"": ""scurve"", ""start_month"": 25, ""end_month"": 33, ""csi_code"": ""26 00 00""}, {""category"": ""hard"", ""name"": ""WBS 09 Fire protection and life safety"", ""amount"": 610000, ""curve"": ""scurve"", ""start_month"": 27, ""end_month"": 33, ""csi_code"": ""21 00 00""}, {""category"": ""hard"", ""name"": ""WBS 10 Communications and security"", ""amount"": 520000, ""curve"": ""scurve"", ""start_month"": 29, ""end_month"": 34, ""csi_code"": ""27 00 00""}, {""category"": ""hard"", ""name"": ""WBS 11 Terminal and support buildings"", ""amount"": 1750000, ""curve"": ""scurve"", ""start_month"": 26, ""end_month"": 33, ""csi_code"": ""01 00 00""}, {""category"": ""hard"", ""name"": ""WBS 12 Landscape and site restoration"", ""amount"": 240000, ""curve"": ""linear"", ""start_month"": 31, ""end_month"": 34, ""csi_code"": ""32 90 00""}, {""category"": ""hard"", ""name"": ""WBS 13 General conditions"", ""amount"": 1180000, ""curve"": ""linear"", ""start_month"": 23, ""end_month"": 35, ""csi_code"": ""01 50 00""}, {""category"": ""soft"", ""name"": ""WBS 14 Commissioning, training and activation"", ""amount"": 310000, ""curve"": ""linear"", ""start_month"": 33, ""end_month"": 35, ""csi_code"": ""01 91 00""}, {""category"": ""contingency"", ""name"": ""WBS 15 Contingency, escalation and owner reserve"", ""amount"": 1640000, ""curve"": ""scurve"", ""start_month"": 23, ""end_month"": 35, ""csi_code"": null}, {""category"": ""fee"", ""name"": ""Developer fee"", ""amount"": 780000, ""curve"": ""linear"", ""start_month"": 0, ""end_month"": 35, ""csi_code"": null}]"
debt,"{""ltc"": 0.6, ""rate"": 0.085, ""points"": 0.01, ""funding"": ""equity_first"", ""max_ltv"": 0.62, ""min_dscr"": 1.3, ""min_debt_yield"": 0.095}"
equity,"{""lp_pct"": 0.9, ""gp_pct"": 0.1}"
operations,"{""potential_rent_annual"": 4600000, ""other_income_annual"": 420000, ""opex_annual"": 2150000, ""reserves_annual"": 180000, ""stabilized_occ"": 0.88, ""credit_loss_pct"": 0.015}"
exit,"{""exit_cap"": 0.0725, ""selling_cost_pct"": 0.02}"
waterfall,"{""pref_rate"": 0.09, ""style"": ""american"", ""clawback"": true, ""pref_accrual"": ""compounding"", ""tiers"": [{""hurdle"": 0.09, ""lp"": 0.9, ""gp"": 0.1}, {""hurdle"": 0.15, ""lp"": 0.8, ""gp"": 0.2}, {""hurdle"": null, ""lp"": 0.7, ""gp"": 0.3}]}"
discount_rate,0.095
tax,"{""income_tax_rate"": 0.25, ""depreciation_years"": 39, ""capital_gains_rate"": 0.2, ""niit_rate"": 0.038, ""recapture_rate"": 0.25}"
sources,"{""operations.potential_rent_annual"": ""SPONSOR ASSUMPTION - no signed operator agreement"", ""operations.opex_annual"": ""SPONSOR ASSUMPTION - benchmark, not quoted"", ""exit.exit_cap"": ""SPONSOR ASSUMPTION - no vertiport comparable set exists"", ""cost_lines"": ""Guide WBS 01-15 allocated by allowance; no vendor quotes held"", ""debt.rate"": ""Indicative term sheet - not committed""}"

RESULT,Value
sources_uses,"{""total_uses"": 21852015.2, ""loan_amount"": 13033011.01, ""loan_fees"": 130330.11, ""interest_reserve"": 416685.09, ""equity"": 8819004.12, ""ltc"": 0.6, ""effective_ltc"": 0.6, ""lp_contribution"": 7937103.71, ""gp_contribution"": 881900.41, ""unscheduled_lines"": [], ""unscheduled_amount"": 0}"
debt_sizing,"{""binding_constraint"": ""ltc"", ""stabilized_value"": 27956965.52, ""actual_dscr"": 1.83, ""actual_debt_yield"": 0.1555, ""actual_ltv"": 0.4662, ""caps"": {""ltv"": 17333318.62, ""dscr"": 18342805.43, ""debt_yield"": 21335578.95}}"
operations,"{""stabilized_noi_annual"": 2026880.0, ""reversion"": {""gross_sale"": 27956965.52, ""selling_costs"": 559139.31, ""loan_payoff"": 13033011.08, ""net_proceeds"": 14364815.12}}"
