Cost code,CSI division,Description,Original,Revised,Committed,Forecast,Variance (revised-forecast)
01-000,01 — General Requirements,General Requirements,5788800.00,5788800.00,5094100.00,5933500.00,-144700.00
02-000,02 — Existing Conditions,Existing Conditions,643200.00,643200.00,604600.00,645100.00,-1900.00
03-000,03 — Concrete,Concrete,8361600.00,8629200.00,8111400.00,8784500.00,-155300.00
04-000,04 — Masonry,Masonry,1286400.00,1286400.00,1132000.00,1290300.00,-3900.00
05-000,05 — Metals,Metals,9648000.00,9783100.00,9196100.00,9704800.00,78300.00
06-000,"06 — Wood, Plastics & Composites","Wood, Plastics & Composites",643200.00,643200.00,604600.00,645100.00,-1900.00
07-000,07 — Thermal & Moisture Protection,Thermal & Moisture Protection,4502400.00,4565400.00,4017600.00,4615600.00,-50200.00
08-000,08 — Openings,Openings,5467200.00,5467200.00,5139200.00,5483600.00,-16400.00
09-000,09 — Finishes,Finishes,4824000.00,4891500.00,4598000.00,4832800.00,58700.00
10-000,10 — Specialties,Specialties,771800.00,771800.00,679200.00,774100.00,-2300.00
11-000,11 — Equipment,Equipment,964800.00,964800.00,906900.00,967700.00,-2900.00
12-000,12 — Furnishings,Furnishings,385900.00,385900.00,362700.00,387100.00,-1200.00
14-000,14 — Conveying Equipment,Conveying Equipment,2251200.00,2251200.00,1981100.00,2258000.00,-6800.00
21-000,21 — Fire Suppression,Fire Suppression,1157800.00,1157800.00,1088300.00,1161300.00,-3500.00
22-000,22 — Plumbing,Plumbing,2251200.00,2251200.00,2116100.00,2258000.00,-6800.00
23-000,"23 — Heating, Ventilating & Air Conditioning (HVAC)","Heating, Ventilating & Air Conditioning (HVAC)",5467200.00,5642200.00,4965100.00,5766300.00,-124100.00
26-000,26 — Electrical,Electrical,5467200.00,5642200.00,5303700.00,5726800.00,-84600.00
27-000,27 — Communications,Communications,964800.00,964800.00,906900.00,967700.00,-2900.00
28-000,28 — Electronic Safety & Security,Electronic Safety & Security,771800.00,771800.00,679200.00,774100.00,-2300.00
31-000,31 — Earthwork,Earthwork,1415000.00,1415000.00,1330100.00,1427700.00,-12700.00
32-000,32 — Exterior Improvements,Exterior Improvements,900500.00,900500.00,846500.00,903200.00,-2700.00
33-000,33 — Utilities,Utilities,385900.00,385900.00,339600.00,387100.00,-1200.00

,,TOTAL,64319900.00,65203100.00,60003000.00,65694400.00,-491300.00
