Item,Description,Cost code,Scheduled value,Completed previous,Completed this period,Materials stored,Total completed and stored,% complete,Retainage %,Balance to finish
001,General Requirements,01-000,5788800.00,3183840.00,694656.00,0.00,3878496.00,0.6700,5.00,1910304.00
002,Existing Conditions,02-000,643200.00,353760.00,77184.00,0.00,430944.00,0.6700,5.00,212256.00
003,Concrete,03-000,8629200.00,1553256.00,1035504.00,0.00,2588760.00,0.3000,5.00,6040440.00
004,Masonry,04-000,1286400.00,0.00,0.00,0.00,0.00,0.0000,5.00,1286400.00
005,Metals,05-000,9783100.00,0.00,0.00,293493.00,293493.00,0.0300,5.00,9489607.00
006,"Wood, Plastics & Composites",06-000,643200.00,0.00,0.00,0.00,0.00,0.0000,5.00,643200.00
007,Thermal & Moisture Protection,07-000,4565400.00,0.00,0.00,0.00,0.00,0.0000,5.00,4565400.00
008,Openings,08-000,5467200.00,0.00,0.00,0.00,0.00,0.0000,5.00,5467200.00
009,Finishes,09-000,4891500.00,0.00,0.00,0.00,0.00,0.0000,5.00,4891500.00
010,Specialties,10-000,771800.00,0.00,0.00,0.00,0.00,0.0000,5.00,771800.00
011,Equipment,11-000,964800.00,0.00,0.00,0.00,0.00,0.0000,5.00,964800.00
012,Furnishings,12-000,385900.00,0.00,0.00,0.00,0.00,0.0000,5.00,385900.00
013,Conveying Equipment,14-000,2251200.00,0.00,0.00,0.00,0.00,0.0000,5.00,2251200.00
014,Fire Suppression,21-000,1157800.00,0.00,0.00,0.00,0.00,0.0000,5.00,1157800.00
015,Plumbing,22-000,2251200.00,0.00,0.00,0.00,0.00,0.0000,5.00,2251200.00
016,"Heating, Ventilating & Air Conditioning (HVAC)",23-000,5642200.00,0.00,0.00,0.00,0.00,0.0000,5.00,5642200.00
017,Electrical,26-000,5642200.00,0.00,0.00,0.00,0.00,0.0000,5.00,5642200.00
018,Communications,27-000,964800.00,0.00,0.00,0.00,0.00,0.0000,5.00,964800.00
019,Electronic Safety & Security,28-000,771800.00,0.00,0.00,0.00,0.00,0.0000,5.00,771800.00
020,Earthwork,31-000,1415000.00,778250.00,169800.00,0.00,948050.00,0.6700,5.00,466950.00
021,Exterior Improvements,32-000,900500.00,0.00,0.00,0.00,0.00,0.0000,5.00,900500.00
022,Utilities,33-000,385900.00,0.00,0.00,0.00,0.00,0.0000,5.00,385900.00
