Cost code,CSI division,Description,Original,Revised,Committed,Forecast,Variance (revised-forecast)
01-000,01 — General Requirements,General Requirements,6394500.00,6394500.00,5627200.00,6554400.00,-159900.00
02-000,02 — Existing Conditions,Existing Conditions,730800.00,730800.00,687000.00,733000.00,-2200.00
03-000,03 — Concrete,Concrete,9591800.00,9898700.00,9304800.00,10076900.00,-178200.00
04-000,04 — Masonry,Masonry,730800.00,730800.00,643100.00,733000.00,-2200.00
05-000,05 — Metals,Metals,8678200.00,8799700.00,8271700.00,8729300.00,70400.00
06-000,"06 — Wood, Plastics & Composites","Wood, Plastics & Composites",274000.00,274000.00,257600.00,274800.00,-800.00
07-000,07 — Thermal & Moisture Protection,Thermal & Moisture Protection,4567500.00,4631400.00,4075600.00,4682300.00,-50900.00
08-000,08 — Openings,Openings,1827000.00,1827000.00,1717400.00,1832500.00,-5500.00
09-000,09 — Finishes,Finishes,2283800.00,2315800.00,2176900.00,2288000.00,27800.00
10-000,10 — Specialties,Specialties,730800.00,730800.00,643100.00,733000.00,-2200.00
11-000,11 — Equipment,Equipment,6851200.00,6851200.00,6440100.00,6871800.00,-20600.00
12-000,12 — Furnishings,Furnishings,182700.00,182700.00,171700.00,183200.00,-500.00
14-000,14 — Conveying Equipment,Conveying Equipment,548100.00,548100.00,482300.00,549700.00,-1600.00
21-000,21 — Fire Suppression,Fire Suppression,2740500.00,2740500.00,2576100.00,2748700.00,-8200.00
22-000,22 — Plumbing,Plumbing,1644300.00,1644300.00,1545600.00,1649200.00,-4900.00
23-000,"23 — Heating, Ventilating & Air Conditioning (HVAC)","Heating, Ventilating & Air Conditioning (HVAC)",15986200.00,16497800.00,14518100.00,16860800.00,-363000.00
26-000,26 — Electrical,Electrical,21010500.00,21682800.00,20381800.00,22008000.00,-325200.00
27-000,27 — Communications,Communications,2283800.00,2283800.00,2146800.00,2290700.00,-6900.00
28-000,28 — Electronic Safety & Security,Electronic Safety & Security,1827000.00,1827000.00,1607800.00,1832500.00,-5500.00
31-000,31 — Earthwork,Earthwork,1370200.00,1370200.00,1288000.00,1382500.00,-12300.00
32-000,32 — Exterior Improvements,Exterior Improvements,913500.00,913500.00,858700.00,916200.00,-2700.00
33-000,33 — Utilities,Utilities,182700.00,182700.00,160800.00,183200.00,-500.00

,,TOTAL,91349900.00,93058100.00,85582200.00,94113700.00,-1055600.00
