Item,Description,Cost code,Scheduled value,Completed previous,Completed this period,Materials stored,Total completed and stored,% complete,Retainage %,Balance to finish
001,General Requirements,01-000,6394500.00,3516975.00,767340.00,0.00,4284315.00,0.6700,5.00,2110185.00
002,Existing Conditions,02-000,730800.00,401940.00,87696.00,0.00,489636.00,0.6700,5.00,241164.00
003,Concrete,03-000,9898700.00,1781766.00,1187844.00,0.00,2969610.00,0.3000,5.00,6929090.00
004,Masonry,04-000,730800.00,0.00,0.00,0.00,0.00,0.0000,5.00,730800.00
005,Metals,05-000,8799700.00,0.00,0.00,263991.00,263991.00,0.0300,5.00,8535709.00
006,"Wood, Plastics & Composites",06-000,274000.00,0.00,0.00,0.00,0.00,0.0000,5.00,274000.00
007,Thermal & Moisture Protection,07-000,4631400.00,0.00,0.00,0.00,0.00,0.0000,5.00,4631400.00
008,Openings,08-000,1827000.00,0.00,0.00,0.00,0.00,0.0000,5.00,1827000.00
009,Finishes,09-000,2315800.00,0.00,0.00,0.00,0.00,0.0000,5.00,2315800.00
010,Specialties,10-000,730800.00,0.00,0.00,0.00,0.00,0.0000,5.00,730800.00
011,Equipment,11-000,6851200.00,0.00,0.00,0.00,0.00,0.0000,5.00,6851200.00
012,Furnishings,12-000,182700.00,0.00,0.00,0.00,0.00,0.0000,5.00,182700.00
013,Conveying Equipment,14-000,548100.00,0.00,0.00,0.00,0.00,0.0000,5.00,548100.00
014,Fire Suppression,21-000,2740500.00,0.00,0.00,0.00,0.00,0.0000,5.00,2740500.00
015,Plumbing,22-000,1644300.00,0.00,0.00,0.00,0.00,0.0000,5.00,1644300.00
016,"Heating, Ventilating & Air Conditioning (HVAC)",23-000,16497800.00,0.00,0.00,0.00,0.00,0.0000,5.00,16497800.00
017,Electrical,26-000,21682800.00,0.00,0.00,0.00,0.00,0.0000,5.00,21682800.00
018,Communications,27-000,2283800.00,0.00,0.00,0.00,0.00,0.0000,5.00,2283800.00
019,Electronic Safety & Security,28-000,1827000.00,0.00,0.00,0.00,0.00,0.0000,5.00,1827000.00
020,Earthwork,31-000,1370200.00,753610.00,164424.00,0.00,918034.00,0.6700,5.00,452166.00
021,Exterior Improvements,32-000,913500.00,0.00,0.00,0.00,0.00,0.0000,5.00,913500.00
022,Utilities,33-000,182700.00,0.00,0.00,0.00,0.00,0.0000,5.00,182700.00
