Cost code,CSI division,Description,Original,Revised,Committed,Forecast,Variance (revised-forecast)
01-000,01 — General Requirements,General Requirements,3279800.00,3279800.00,2886200.00,3361800.00,-82000.00
02-000,02 — Existing Conditions,Existing Conditions,414300.00,414300.00,389400.00,415500.00,-1200.00
03-000,03 — Concrete,Concrete,3797600.00,3919100.00,3684000.00,3989600.00,-70500.00
04-000,04 — Masonry,Masonry,690500.00,690500.00,607600.00,692600.00,-2100.00
05-000,05 — Metals,Metals,4488100.00,4550900.00,4277800.00,4514500.00,36400.00
06-000,"06 — Wood, Plastics & Composites","Wood, Plastics & Composites",345200.00,345200.00,324500.00,346200.00,-1000.00
07-000,07 — Thermal & Moisture Protection,Thermal & Moisture Protection,2071400.00,2100400.00,1848400.00,2123500.00,-23100.00
08-000,08 — Openings,Openings,2071400.00,2071400.00,1947100.00,2077600.00,-6200.00
09-000,09 — Finishes,Finishes,3107200.00,3150700.00,2961700.00,3112900.00,37800.00
10-000,10 — Specialties,Specialties,690500.00,690500.00,607600.00,692600.00,-2100.00
11-000,11 — Equipment,Equipment,1726200.00,1726200.00,1622600.00,1731400.00,-5200.00
12-000,12 — Furnishings,Furnishings,345200.00,345200.00,324500.00,346200.00,-1000.00
14-000,14 — Conveying Equipment,Conveying Equipment,863100.00,863100.00,759500.00,865700.00,-2600.00
21-000,21 — Fire Suppression,Fire Suppression,759500.00,759500.00,713900.00,761800.00,-2300.00
22-000,22 — Plumbing,Plumbing,1898800.00,1898800.00,1784900.00,1904500.00,-5700.00
23-000,"23 — Heating, Ventilating & Air Conditioning (HVAC)","Heating, Ventilating & Air Conditioning (HVAC)",3279800.00,3384800.00,2978600.00,3459300.00,-74500.00
26-000,26 — Electrical,Electrical,2761900.00,2850300.00,2679300.00,2893100.00,-42800.00
27-000,27 — Communications,Communications,517900.00,517900.00,486800.00,519500.00,-1600.00
28-000,28 — Electronic Safety & Security,Electronic Safety & Security,517900.00,517900.00,455800.00,519500.00,-1600.00
31-000,31 — Earthwork,Earthwork,517900.00,517900.00,486800.00,522600.00,-4700.00
32-000,32 — Exterior Improvements,Exterior Improvements,276200.00,276200.00,259600.00,277000.00,-800.00
33-000,33 — Utilities,Utilities,103600.00,103600.00,91200.00,103900.00,-300.00

,,TOTAL,34524000.00,34974200.00,32177800.00,35231300.00,-257100.00
