Item,Description,Cost code,Scheduled value,Completed previous,Completed this period,Materials stored,Total completed and stored,% complete,Retainage %,Balance to finish
001,General Requirements,01-000,3279800.00,1803890.00,393576.00,0.00,2197466.00,0.6700,5.00,1082334.00
002,Existing Conditions,02-000,414300.00,227865.00,49716.00,0.00,277581.00,0.6700,5.00,136719.00
003,Concrete,03-000,3919100.00,705438.00,470292.00,0.00,1175730.00,0.3000,5.00,2743370.00
004,Masonry,04-000,690500.00,0.00,0.00,0.00,0.00,0.0000,5.00,690500.00
005,Metals,05-000,4550900.00,0.00,0.00,136527.00,136527.00,0.0300,5.00,4414373.00
006,"Wood, Plastics & Composites",06-000,345200.00,0.00,0.00,0.00,0.00,0.0000,5.00,345200.00
007,Thermal & Moisture Protection,07-000,2100400.00,0.00,0.00,0.00,0.00,0.0000,5.00,2100400.00
008,Openings,08-000,2071400.00,0.00,0.00,0.00,0.00,0.0000,5.00,2071400.00
009,Finishes,09-000,3150700.00,0.00,0.00,0.00,0.00,0.0000,5.00,3150700.00
010,Specialties,10-000,690500.00,0.00,0.00,0.00,0.00,0.0000,5.00,690500.00
011,Equipment,11-000,1726200.00,0.00,0.00,0.00,0.00,0.0000,5.00,1726200.00
012,Furnishings,12-000,345200.00,0.00,0.00,0.00,0.00,0.0000,5.00,345200.00
013,Conveying Equipment,14-000,863100.00,0.00,0.00,0.00,0.00,0.0000,5.00,863100.00
014,Fire Suppression,21-000,759500.00,0.00,0.00,0.00,0.00,0.0000,5.00,759500.00
015,Plumbing,22-000,1898800.00,0.00,0.00,0.00,0.00,0.0000,5.00,1898800.00
016,"Heating, Ventilating & Air Conditioning (HVAC)",23-000,3384800.00,0.00,0.00,0.00,0.00,0.0000,5.00,3384800.00
017,Electrical,26-000,2850300.00,0.00,0.00,0.00,0.00,0.0000,5.00,2850300.00
018,Communications,27-000,517900.00,0.00,0.00,0.00,0.00,0.0000,5.00,517900.00
019,Electronic Safety & Security,28-000,517900.00,0.00,0.00,0.00,0.00,0.0000,5.00,517900.00
020,Earthwork,31-000,517900.00,284845.00,62148.00,0.00,346993.00,0.6700,5.00,170907.00
021,Exterior Improvements,32-000,276200.00,0.00,0.00,0.00,0.00,0.0000,5.00,276200.00
022,Utilities,33-000,103600.00,0.00,0.00,0.00,0.00,0.0000,5.00,103600.00
