Cost code,CSI division,Description,Original,Revised,Committed,Forecast,Variance (revised-forecast)
01-000,01 — General Requirements,General Requirements,1570200.00,1570200.00,1381800.00,1609500.00,-39300.00
02-000,02 — Existing Conditions,Existing Conditions,157000.00,157000.00,147600.00,157500.00,-500.00
03-000,03 — Concrete,Concrete,2747800.00,2835700.00,2665600.00,2886700.00,-51000.00
04-000,04 — Masonry,Masonry,687000.00,687000.00,604600.00,689100.00,-2100.00
05-000,05 — Metals,Metals,1079500.00,1094600.00,1028900.00,1085800.00,8800.00
06-000,"06 — Wood, Plastics & Composites","Wood, Plastics & Composites",1962700.00,1962700.00,1844900.00,1968600.00,-5900.00
07-000,07 — Thermal & Moisture Protection,Thermal & Moisture Protection,1373900.00,1393100.00,1225900.00,1408400.00,-15300.00
08-000,08 — Openings,Openings,981400.00,981400.00,922500.00,984300.00,-2900.00
09-000,09 — Finishes,Finishes,2257100.00,2288700.00,2151400.00,2261200.00,27500.00
10-000,10 — Specialties,Specialties,392500.00,392500.00,345400.00,393700.00,-1200.00
11-000,11 — Equipment,Equipment,490700.00,490700.00,461300.00,492200.00,-1500.00
12-000,12 — Furnishings,Furnishings,687000.00,687000.00,645800.00,689100.00,-2100.00
14-000,14 — Conveying Equipment,Conveying Equipment,431800.00,431800.00,380000.00,433100.00,-1300.00
21-000,21 — Fire Suppression,Fire Suppression,294400.00,294400.00,276700.00,295300.00,-900.00
22-000,22 — Plumbing,Plumbing,981400.00,981400.00,922500.00,984300.00,-2900.00
23-000,"23 — Heating, Ventilating & Air Conditioning (HVAC)","Heating, Ventilating & Air Conditioning (HVAC)",1138400.00,1174800.00,1033800.00,1200600.00,-25800.00
26-000,26 — Electrical,Electrical,1216900.00,1255800.00,1180500.00,1274600.00,-18800.00
27-000,27 — Communications,Communications,235500.00,235500.00,221400.00,236200.00,-700.00
28-000,28 — Electronic Safety & Security,Electronic Safety & Security,196300.00,196300.00,172700.00,196900.00,-600.00
31-000,31 — Earthwork,Earthwork,392500.00,392500.00,369000.00,396000.00,-3500.00
32-000,32 — Exterior Improvements,Exterior Improvements,235500.00,235500.00,221400.00,236200.00,-700.00
33-000,33 — Utilities,Utilities,117800.00,117800.00,103700.00,118200.00,-400.00

,,TOTAL,19627300.00,19856400.00,18307400.00,19997500.00,-141100.00
