Item,Description,Cost code,Scheduled value,Completed previous,Completed this period,Materials stored,Total completed and stored,% complete,Retainage %,Balance to finish
001,General Requirements,01-000,1570200.00,863610.00,188424.00,0.00,1052034.00,0.6700,5.00,518166.00
002,Existing Conditions,02-000,157000.00,86350.00,18840.00,0.00,105190.00,0.6700,5.00,51810.00
003,Concrete,03-000,2835700.00,510426.00,340284.00,0.00,850710.00,0.3000,5.00,1984990.00
004,Masonry,04-000,687000.00,0.00,0.00,0.00,0.00,0.0000,5.00,687000.00
005,Metals,05-000,1094600.00,0.00,0.00,32838.00,32838.00,0.0300,5.00,1061762.00
006,"Wood, Plastics & Composites",06-000,1962700.00,0.00,0.00,0.00,0.00,0.0000,5.00,1962700.00
007,Thermal & Moisture Protection,07-000,1393100.00,0.00,0.00,0.00,0.00,0.0000,5.00,1393100.00
008,Openings,08-000,981400.00,0.00,0.00,0.00,0.00,0.0000,5.00,981400.00
009,Finishes,09-000,2288700.00,0.00,0.00,0.00,0.00,0.0000,5.00,2288700.00
010,Specialties,10-000,392500.00,0.00,0.00,0.00,0.00,0.0000,5.00,392500.00
011,Equipment,11-000,490700.00,0.00,0.00,0.00,0.00,0.0000,5.00,490700.00
012,Furnishings,12-000,687000.00,0.00,0.00,0.00,0.00,0.0000,5.00,687000.00
013,Conveying Equipment,14-000,431800.00,0.00,0.00,0.00,0.00,0.0000,5.00,431800.00
014,Fire Suppression,21-000,294400.00,0.00,0.00,0.00,0.00,0.0000,5.00,294400.00
015,Plumbing,22-000,981400.00,0.00,0.00,0.00,0.00,0.0000,5.00,981400.00
016,"Heating, Ventilating & Air Conditioning (HVAC)",23-000,1174800.00,0.00,0.00,0.00,0.00,0.0000,5.00,1174800.00
017,Electrical,26-000,1255800.00,0.00,0.00,0.00,0.00,0.0000,5.00,1255800.00
018,Communications,27-000,235500.00,0.00,0.00,0.00,0.00,0.0000,5.00,235500.00
019,Electronic Safety & Security,28-000,196300.00,0.00,0.00,0.00,0.00,0.0000,5.00,196300.00
020,Earthwork,31-000,392500.00,215875.00,47100.00,0.00,262975.00,0.6700,5.00,129525.00
021,Exterior Improvements,32-000,235500.00,0.00,0.00,0.00,0.00,0.0000,5.00,235500.00
022,Utilities,33-000,117800.00,0.00,0.00,0.00,0.00,0.0000,5.00,117800.00
