Activity ID,WBS,Activity name,Type,Trade,Start,Finish,Duration (wd),Predecessor,Crew,Weather sensitivity,EV method,Location
ACT-001,1.1,Mobilization and site logistics,Summary,Sitework,2026-03-02,2026-03-28,19,,10,Rain / wet,milestone,Whole building
ACT-002,1.2,Mass excavation and shoring,Summary,Sitework,2026-03-28,2026-05-13,33,ACT-001,12,Rain / wet,units,Whole building
ACT-003,1.3,Foundations and below-grade,Summary,Concrete,2026-05-13,2026-07-19,48,ACT-002,14,Freeze / cold,percent,Whole building
ACT-004,1.4,Superstructure,Summary,Structure,2026-07-19,2026-11-29,95,ACT-003,16,Wind,units,Whole building
ACT-004-01,1.4.1,"Level 1 — frame, deck and pour",Task,Structure,2026-07-19,2026-08-14,19,ACT-004,14,Wind,units,Level 1
ACT-004-02,1.4.2,"Level 2 — frame, deck and pour",Task,Structure,2026-08-14,2026-09-09,19,ACT-004-01,14,Wind,units,Level 2
ACT-004-03,1.4.3,"Level 3 — frame, deck and pour",Task,Structure,2026-09-09,2026-10-05,19,ACT-004-02,14,Wind,units,Level 3
ACT-004-04,1.4.4,"Level 4 — frame, deck and pour",Task,Structure,2026-10-05,2026-10-31,19,ACT-004-03,14,Wind,units,Level 4
ACT-004-05,1.4.5,"Level 5 — frame, deck and pour",Task,Structure,2026-10-31,2026-11-26,19,ACT-004-04,14,Wind,units,Level 5
ACT-005,1.5,Building envelope,Summary,Envelope,2026-11-29,2027-03-09,72,ACT-004,18,Wind,percent,Whole building
ACT-006,1.6,MEP rough-in,Summary,MEP,2027-03-09,2027-06-23,76,ACT-005,20,None,percent,Whole building
ACT-007,1.7,Interior build-out,Summary,Interiors,2027-06-23,2027-09-17,62,ACT-006,22,None,percent,Whole building
ACT-008,1.8,Finishes and fit-out,Summary,Finishes,2027-09-17,2027-11-09,38,ACT-007,24,None,percent,Whole building
ACT-009,1.9,Commissioning and turnover,Summary,Commissioning,2027-11-09,2027-12-25,33,ACT-008,26,None,0-100,Whole building
ACT-900,1.10,Substantial completion,Milestone,Commissioning,2027-12-25,2027-12-25,0,ACT-009,0,None,milestone,Whole building
