Cost code,CSI division,Description,Original,Revised,Committed,Forecast,Variance (revised-forecast)
01-000,01 — General Requirements,General Requirements,2346000.00,2346000.00,2064500.00,2404600.00,-58600.00
02-000,02 — Existing Conditions,Existing Conditions,469200.00,469200.00,441000.00,470600.00,-1400.00
03-000,03 — Concrete,Concrete,7038000.00,7263200.00,6827400.00,7393900.00,-130700.00
04-000,04 — Masonry,Masonry,312800.00,312800.00,275300.00,313700.00,-900.00
05-000,05 — Metals,Metals,6256000.00,6343600.00,5963000.00,6292900.00,50700.00
06-000,"06 — Wood, Plastics & Composites","Wood, Plastics & Composites",156400.00,156400.00,147000.00,156900.00,-500.00
07-000,07 — Thermal & Moisture Protection,Thermal & Moisture Protection,3284400.00,3330400.00,2930800.00,3367000.00,-36600.00
08-000,08 — Openings,Openings,1251200.00,1251200.00,1176100.00,1255000.00,-3800.00
09-000,09 — Finishes,Finishes,938400.00,951500.00,894400.00,940100.00,11400.00
10-000,10 — Specialties,Specialties,312800.00,312800.00,275300.00,313700.00,-900.00
11-000,11 — Equipment,Equipment,625600.00,625600.00,588100.00,627500.00,-1900.00
12-000,12 — Furnishings,Furnishings,62600.00,62600.00,58800.00,62800.00,-200.00
14-000,14 — Conveying Equipment,Conveying Equipment,156400.00,156400.00,137600.00,156900.00,-500.00
21-000,21 — Fire Suppression,Fire Suppression,1094800.00,1094800.00,1029100.00,1098100.00,-3300.00
22-000,22 — Plumbing,Plumbing,625600.00,625600.00,588100.00,627500.00,-1900.00
23-000,"23 — Heating, Ventilating & Air Conditioning (HVAC)","Heating, Ventilating & Air Conditioning (HVAC)",1094800.00,1129800.00,994200.00,1154700.00,-24900.00
26-000,26 — Electrical,Electrical,1876800.00,1936900.00,1820700.00,1966000.00,-29100.00
27-000,27 — Communications,Communications,250200.00,250200.00,235200.00,251000.00,-800.00
28-000,28 — Electronic Safety & Security,Electronic Safety & Security,312800.00,312800.00,275300.00,313700.00,-900.00
31-000,31 — Earthwork,Earthwork,1720400.00,1720400.00,1617200.00,1735900.00,-15500.00
32-000,32 — Exterior Improvements,Exterior Improvements,782000.00,782000.00,735100.00,784300.00,-2300.00
33-000,33 — Utilities,Utilities,312800.00,312800.00,275300.00,313700.00,-900.00

,,TOTAL,31280000.00,31747000.00,29349500.00,32000500.00,-253500.00
