Item,Description,Cost code,Scheduled value,Completed previous,Completed this period,Materials stored,Total completed and stored,% complete,Retainage %,Balance to finish
001,General Requirements,01-000,2346000.00,1290300.00,281520.00,0.00,1571820.00,0.6700,5.00,774180.00
002,Existing Conditions,02-000,469200.00,258060.00,56304.00,0.00,314364.00,0.6700,5.00,154836.00
003,Concrete,03-000,7263200.00,1307376.00,871584.00,0.00,2178960.00,0.3000,5.00,5084240.00
004,Masonry,04-000,312800.00,0.00,0.00,0.00,0.00,0.0000,5.00,312800.00
005,Metals,05-000,6343600.00,0.00,0.00,190308.00,190308.00,0.0300,5.00,6153292.00
006,"Wood, Plastics & Composites",06-000,156400.00,0.00,0.00,0.00,0.00,0.0000,5.00,156400.00
007,Thermal & Moisture Protection,07-000,3330400.00,0.00,0.00,0.00,0.00,0.0000,5.00,3330400.00
008,Openings,08-000,1251200.00,0.00,0.00,0.00,0.00,0.0000,5.00,1251200.00
009,Finishes,09-000,951500.00,0.00,0.00,0.00,0.00,0.0000,5.00,951500.00
010,Specialties,10-000,312800.00,0.00,0.00,0.00,0.00,0.0000,5.00,312800.00
011,Equipment,11-000,625600.00,0.00,0.00,0.00,0.00,0.0000,5.00,625600.00
012,Furnishings,12-000,62600.00,0.00,0.00,0.00,0.00,0.0000,5.00,62600.00
013,Conveying Equipment,14-000,156400.00,0.00,0.00,0.00,0.00,0.0000,5.00,156400.00
014,Fire Suppression,21-000,1094800.00,0.00,0.00,0.00,0.00,0.0000,5.00,1094800.00
015,Plumbing,22-000,625600.00,0.00,0.00,0.00,0.00,0.0000,5.00,625600.00
016,"Heating, Ventilating & Air Conditioning (HVAC)",23-000,1129800.00,0.00,0.00,0.00,0.00,0.0000,5.00,1129800.00
017,Electrical,26-000,1936900.00,0.00,0.00,0.00,0.00,0.0000,5.00,1936900.00
018,Communications,27-000,250200.00,0.00,0.00,0.00,0.00,0.0000,5.00,250200.00
019,Electronic Safety & Security,28-000,312800.00,0.00,0.00,0.00,0.00,0.0000,5.00,312800.00
020,Earthwork,31-000,1720400.00,946220.00,206448.00,0.00,1152668.00,0.6700,5.00,567732.00
021,Exterior Improvements,32-000,782000.00,0.00,0.00,0.00,0.00,0.0000,5.00,782000.00
022,Utilities,33-000,312800.00,0.00,0.00,0.00,0.00,0.0000,5.00,312800.00
