Cost code,CSI division,Description,Original,Revised,Committed,Forecast,Variance (revised-forecast)
01-000,01 — General Requirements,General Requirements,5093500.00,5093500.00,4482300.00,5220800.00,-127300.00
02-000,02 — Existing Conditions,Existing Conditions,694600.00,694600.00,652900.00,696700.00,-2100.00
03-000,03 — Concrete,Concrete,9550300.00,9855900.00,9264500.00,10033300.00,-177400.00
04-000,04 — Masonry,Masonry,1620700.00,1620700.00,1426200.00,1625600.00,-4900.00
05-000,05 — Metals,Metals,4341000.00,4401800.00,4137700.00,4366600.00,35200.00
06-000,"06 — Wood, Plastics & Composites","Wood, Plastics & Composites",4630400.00,4630400.00,4352600.00,4644300.00,-13900.00
07-000,07 — Thermal & Moisture Protection,Thermal & Moisture Protection,4167400.00,4225700.00,3718600.00,4272200.00,-46500.00
08-000,08 — Openings,Openings,3472800.00,3472800.00,3264400.00,3483200.00,-10400.00
09-000,09 — Finishes,Finishes,5672300.00,5751700.00,5406600.00,5682700.00,69000.00
10-000,10 — Specialties,Specialties,810300.00,810300.00,713100.00,812700.00,-2400.00
11-000,11 — Equipment,Equipment,1041800.00,1041800.00,979300.00,1044900.00,-3100.00
12-000,12 — Furnishings,Furnishings,578800.00,578800.00,544100.00,580500.00,-1700.00
14-000,14 — Conveying Equipment,Conveying Equipment,1620700.00,1620700.00,1426200.00,1625600.00,-4900.00
21-000,21 — Fire Suppression,Fire Suppression,926100.00,926100.00,870500.00,928900.00,-2800.00
22-000,22 — Plumbing,Plumbing,2546700.00,2546700.00,2393900.00,2554300.00,-7600.00
23-000,"23 — Heating, Ventilating & Air Conditioning (HVAC)","Heating, Ventilating & Air Conditioning (HVAC)",3588600.00,3703400.00,3259000.00,3784900.00,-81500.00
26-000,26 — Electrical,Electrical,4167400.00,4300800.00,4042800.00,4365300.00,-64500.00
27-000,27 — Communications,Communications,694600.00,694600.00,652900.00,696700.00,-2100.00
28-000,28 — Electronic Safety & Security,Electronic Safety & Security,520900.00,520900.00,458400.00,522500.00,-1600.00
31-000,31 — Earthwork,Earthwork,1273400.00,1273400.00,1197000.00,1284900.00,-11500.00
32-000,32 — Exterior Improvements,Exterior Improvements,694600.00,694600.00,652900.00,696700.00,-2100.00
33-000,33 — Utilities,Utilities,173600.00,173600.00,152800.00,174100.00,-500.00

,,TOTAL,57880500.00,58632800.00,54048700.00,59097400.00,-464600.00
