Item,Description,Cost code,Scheduled value,Completed previous,Completed this period,Materials stored,Total completed and stored,% complete,Retainage %,Balance to finish
001,General Requirements,01-000,5093500.00,2801425.00,611220.00,0.00,3412645.00,0.6700,5.00,1680855.00
002,Existing Conditions,02-000,694600.00,382030.00,83352.00,0.00,465382.00,0.6700,5.00,229218.00
003,Concrete,03-000,9855900.00,1774062.00,1182708.00,0.00,2956770.00,0.3000,5.00,6899130.00
004,Masonry,04-000,1620700.00,0.00,0.00,0.00,0.00,0.0000,5.00,1620700.00
005,Metals,05-000,4401800.00,0.00,0.00,132054.00,132054.00,0.0300,5.00,4269746.00
006,"Wood, Plastics & Composites",06-000,4630400.00,0.00,0.00,0.00,0.00,0.0000,5.00,4630400.00
007,Thermal & Moisture Protection,07-000,4225700.00,0.00,0.00,0.00,0.00,0.0000,5.00,4225700.00
008,Openings,08-000,3472800.00,0.00,0.00,0.00,0.00,0.0000,5.00,3472800.00
009,Finishes,09-000,5751700.00,0.00,0.00,0.00,0.00,0.0000,5.00,5751700.00
010,Specialties,10-000,810300.00,0.00,0.00,0.00,0.00,0.0000,5.00,810300.00
011,Equipment,11-000,1041800.00,0.00,0.00,0.00,0.00,0.0000,5.00,1041800.00
012,Furnishings,12-000,578800.00,0.00,0.00,0.00,0.00,0.0000,5.00,578800.00
013,Conveying Equipment,14-000,1620700.00,0.00,0.00,0.00,0.00,0.0000,5.00,1620700.00
014,Fire Suppression,21-000,926100.00,0.00,0.00,0.00,0.00,0.0000,5.00,926100.00
015,Plumbing,22-000,2546700.00,0.00,0.00,0.00,0.00,0.0000,5.00,2546700.00
016,"Heating, Ventilating & Air Conditioning (HVAC)",23-000,3703400.00,0.00,0.00,0.00,0.00,0.0000,5.00,3703400.00
017,Electrical,26-000,4300800.00,0.00,0.00,0.00,0.00,0.0000,5.00,4300800.00
018,Communications,27-000,694600.00,0.00,0.00,0.00,0.00,0.0000,5.00,694600.00
019,Electronic Safety & Security,28-000,520900.00,0.00,0.00,0.00,0.00,0.0000,5.00,520900.00
020,Earthwork,31-000,1273400.00,700370.00,152808.00,0.00,853178.00,0.6700,5.00,420222.00
021,Exterior Improvements,32-000,694600.00,0.00,0.00,0.00,0.00,0.0000,5.00,694600.00
022,Utilities,33-000,173600.00,0.00,0.00,0.00,0.00,0.0000,5.00,173600.00
