Cost code,CSI division,Description,Original,Revised,Committed,Forecast,Variance (revised-forecast)
01-000,01 — General Requirements,General Requirements,2160100.00,2160100.00,1900900.00,2214100.00,-54000.00
02-000,02 — Existing Conditions,Existing Conditions,254100.00,254100.00,238900.00,254900.00,-800.00
03-000,03 — Concrete,Concrete,3939000.00,4065000.00,3821100.00,4138200.00,-73200.00
04-000,04 — Masonry,Masonry,762400.00,762400.00,670900.00,764700.00,-2300.00
05-000,05 — Metals,Metals,1524800.00,1546100.00,1453300.00,1533700.00,12400.00
06-000,"06 — Wood, Plastics & Composites","Wood, Plastics & Composites",2668400.00,2668400.00,2508300.00,2676400.00,-8000.00
07-000,07 — Thermal & Moisture Protection,Thermal & Moisture Protection,1906000.00,1932700.00,1700800.00,1954000.00,-21300.00
08-000,08 — Openings,Openings,1397700.00,1397700.00,1313800.00,1401900.00,-4200.00
09-000,09 — Finishes,Finishes,2668400.00,2705800.00,2543500.00,2673300.00,32500.00
10-000,10 — Specialties,Specialties,381200.00,381200.00,335500.00,382300.00,-1100.00
11-000,11 — Equipment,Equipment,508300.00,508300.00,477800.00,509800.00,-1500.00
12-000,12 — Furnishings,Furnishings,254100.00,254100.00,238900.00,254900.00,-800.00
14-000,14 — Conveying Equipment,Conveying Equipment,508300.00,508300.00,447300.00,509800.00,-1500.00
21-000,21 — Fire Suppression,Fire Suppression,381200.00,381200.00,358300.00,382300.00,-1100.00
22-000,22 — Plumbing,Plumbing,1143600.00,1143600.00,1075000.00,1147000.00,-3400.00
23-000,"23 — Heating, Ventilating & Air Conditioning (HVAC)","Heating, Ventilating & Air Conditioning (HVAC)",1524800.00,1573600.00,1384800.00,1608200.00,-34600.00
26-000,26 — Electrical,Electrical,1778900.00,1835800.00,1725700.00,1863300.00,-27500.00
27-000,27 — Communications,Communications,254100.00,254100.00,238900.00,254900.00,-800.00
28-000,28 — Electronic Safety & Security,Electronic Safety & Security,203300.00,203300.00,178900.00,203900.00,-600.00
31-000,31 — Earthwork,Earthwork,635300.00,635300.00,597200.00,641000.00,-5700.00
32-000,32 — Exterior Improvements,Exterior Improvements,381200.00,381200.00,358300.00,382300.00,-1100.00
33-000,33 — Utilities,Utilities,177900.00,177900.00,156600.00,178400.00,-500.00

,,TOTAL,25413100.00,25730200.00,23724700.00,25929300.00,-199100.00
