Item,Description,Cost code,Scheduled value,Completed previous,Completed this period,Materials stored,Total completed and stored,% complete,Retainage %,Balance to finish
001,General Requirements,01-000,2160100.00,1188055.00,259212.00,0.00,1447267.00,0.6700,5.00,712833.00
002,Existing Conditions,02-000,254100.00,139755.00,30492.00,0.00,170247.00,0.6700,5.00,83853.00
003,Concrete,03-000,4065000.00,731700.00,487800.00,0.00,1219500.00,0.3000,5.00,2845500.00
004,Masonry,04-000,762400.00,0.00,0.00,0.00,0.00,0.0000,5.00,762400.00
005,Metals,05-000,1546100.00,0.00,0.00,46383.00,46383.00,0.0300,5.00,1499717.00
006,"Wood, Plastics & Composites",06-000,2668400.00,0.00,0.00,0.00,0.00,0.0000,5.00,2668400.00
007,Thermal & Moisture Protection,07-000,1932700.00,0.00,0.00,0.00,0.00,0.0000,5.00,1932700.00
008,Openings,08-000,1397700.00,0.00,0.00,0.00,0.00,0.0000,5.00,1397700.00
009,Finishes,09-000,2705800.00,0.00,0.00,0.00,0.00,0.0000,5.00,2705800.00
010,Specialties,10-000,381200.00,0.00,0.00,0.00,0.00,0.0000,5.00,381200.00
011,Equipment,11-000,508300.00,0.00,0.00,0.00,0.00,0.0000,5.00,508300.00
012,Furnishings,12-000,254100.00,0.00,0.00,0.00,0.00,0.0000,5.00,254100.00
013,Conveying Equipment,14-000,508300.00,0.00,0.00,0.00,0.00,0.0000,5.00,508300.00
014,Fire Suppression,21-000,381200.00,0.00,0.00,0.00,0.00,0.0000,5.00,381200.00
015,Plumbing,22-000,1143600.00,0.00,0.00,0.00,0.00,0.0000,5.00,1143600.00
016,"Heating, Ventilating & Air Conditioning (HVAC)",23-000,1573600.00,0.00,0.00,0.00,0.00,0.0000,5.00,1573600.00
017,Electrical,26-000,1835800.00,0.00,0.00,0.00,0.00,0.0000,5.00,1835800.00
018,Communications,27-000,254100.00,0.00,0.00,0.00,0.00,0.0000,5.00,254100.00
019,Electronic Safety & Security,28-000,203300.00,0.00,0.00,0.00,0.00,0.0000,5.00,203300.00
020,Earthwork,31-000,635300.00,349415.00,76236.00,0.00,425651.00,0.6700,5.00,209649.00
021,Exterior Improvements,32-000,381200.00,0.00,0.00,0.00,0.00,0.0000,5.00,381200.00
022,Utilities,33-000,177900.00,0.00,0.00,0.00,0.00,0.0000,5.00,177900.00
